Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder	tle_name	tle
UGUISU	ACTIVE	tbd	.		437.375	"CW, 4k8 FSK"	JG6YLE	latest report	details	YES			
NEPALISAT-1	ACTIVE	tbd	.		437.375	"CW, 4k8 FSK"	JG6YLF	latest report	details	YES			
RAAVANA-1	ACTIVE	tbd	.		437.375	"CW, 4k8 FSK"	JG6YLG	latest report	details	YES			
AISTECHSAT-3	ACTIVE	44103			436.730	9k6 GFSK  (ASM+Golay)		latest report	details	NO		AISTECHSAT-3	"1 44103U 19018AB  19191.75920133  .00000593  00000-0  28518-4 0  9997
2 44103  97.4551 251.5783 0012334 315.0671  44.9566 15.22646282 15279"
M6P	ACTIVE	44109			437.265	9k6 FSK		latest report	details	NO *)		M6P	"1 44109U 19018AF  19191.83689497  .00000950  00000-0  34040-4 0  9991
2 44109  97.5080 253.3995 0060337 347.2790 103.0280 15.29753397 15186"
MYSAT-1	ACTIVE	44045			435.775	1k2 BPSK	A68MY	latest report	details	YES		MYSAT-1	"1 44045U 18092F   19191.46573929  .00001560  00000-0  56347-4 0  9994
2 44045  51.6423 265.4467 0012469 160.9692 199.1758 15.34998904 22588"
DELPHINI	ACTIVE	44030			437.500	9k6 GMSK		latest report	details	YES		DELPHINI	"1 44030U 98067PW  19190.59793301  .00007034  00000-0  10286-3 0  9992
2 44030  51.6375 246.4359 0004066 225.6953 134.3706 15.56830594 24805"
AstroCast 0.1	ACTIVE	43798			437.150	1k2 FSK	HB9GSF	latest report	details	YES		RANGE A	"1 43798U 18099AS  19191.38059457 -.00000393  00000-0 -30033-4 0  9990
2 43798  97.7437 263.2828 0011257 237.7847 122.2283 14.95736580 32660"
iSAT	ACTIVE	43879	437.325	435.525	435.700	4k8 GMSK  Mobitex	DP2GOS	latest report	details	NO		ISAT	"1 43879U 18111D   19191.53087085 -.00000076  00000-0 -16372-5 0  9999
2 43879  97.7167  99.2223 0012316 316.5736  43.4515 14.95995592 27202"
D-STAR ONE SPARROW	ACTIVE	43881	437.325	435.525	435.700	4k8 GMSK  Mobitex/D-STAR	DP1GOS	latest report	details	NO		D-STAR ONE SPARROW	"1 43881U 18111F   19191.49315500  .00000748  00000-0  71324-4 0  9994
2 43881  97.7185  99.3053 0011292 317.2547  42.7795 14.96286766 27206"
AISTECHSAT-2	ACTIVE	43768			436.730	9k6 GFSK  (ASM+Golay)		latest report	details	NO		AISTECHSAT-2	"1 43768U 18099L   19191.15834018  .00000260  00000-0  29402-4 0  9995
2 43768  97.7429 262.6334 0010039 250.2783 109.7355 14.94521352 32342"
CHOMPTT	ACTIVE	43855			437.560	1k2 AFSK AX.25	WI2XVT	latest report	details	YES		CHOMPTT	"1 43855U 18104G   19191.58576036  .00000520  00000-0  20680-4 0  9997
2 43855  85.0374  41.9660 0015639 229.8830 130.1046 15.22397532 31352"
Reaktor Hello World	ACTIVE	43743		2410.000	437.775	"9k6 2GFSK,CW"	OH2RHW1	latest report	details	YES		REAKTOR HELLO WORLD	"1 43743U 18096AA  19191.53231613  .00000649  00000-0  27529-4 0  9998
2 43743  97.4589 261.5061 0016617 257.7001 211.4184 15.26635929 34061"
Al-Farabi-2	ACTIVE	43805			436.500	"4k8 GMSK,CW"	UN1GWA	latest report	details	NO		AL FARABI 2	"1 43805U 18099AZ  19191.78158986 -.00000138  00000-0 -72125-5 0  9996
2 43805  97.7418 263.4677 0013904 253.9397 106.0293 14.95334358 32739"
FacSat-1	ACTIVE	43721			437.350	9k6 GMSK		latest report	details	YES		FACSAT 1	"1 43721U 18096C   19191.84955317  .00000728  00000-0  30841-4 0  9991
2 43721  97.4582 261.6745 0016612 251.4197 221.4194 15.26324746 34112"
EAGLET-1	ACTIVE	43790			435.200	1k2 BPSK		latest report	details	NO		EAGLET 1	"1 43790U 18099AJ  19191.14694529  .00000565  00000-0  56219-4 0  9994
2 43790  97.7450 263.0121 0011924 260.2353  99.7521 14.95518741 32339"
Suomi100	ACTIVE	43804			437.775	9k6 GMSK	.	latest report	details	YES		SUOMI 100	"1 43804U 18099AY  19191.45244293 -.00000137  00000-0 -71832-5 0  9999
2 43804  97.7414 263.1268 0013891 254.9547 105.0136 14.95274940 32689"
ESEO	ACTIVE	43792	1263.500		437.000	9k6 GFSK	IW4DUL	latest report	details	YES		ESEO	"1 43792U 18099AL  19191.27843615  .00000495  00000-0  49854-4 0  9991
2 43792  97.7429 263.0967 0011805 256.3366 103.6540 14.95510063 32417"
CSIM-FD	ACTIVE	43793			437.250	19k2 FSK	.	latest report	details	YES		CSIM	"1 43793U 18099AM  19190.79405313 +.00000280 +00000-0 +30346-4 0  9995
2 43793 097.7390 262.5206 0011697 255.0851 104.9075 14.95702726032314"
PW-Sat2	ACTIVE	43814			435.275	9k6 BPSK	.	latest report	details	YES		PW-SAT2	"1 43814U 18099BJ  19191.77600729  .00009719  00000-0  78505-3 0  9990
2 43814  97.7834 264.6648 0006464 214.7652 145.3154 15.00020150 32162"
SnugLite	ACTIVE	43786			437.275	9k6 FSK	.	latest report	details	YES		OBJECT AE	"1 43786U 18099AE  19191.20236803  .00000373  00000-0  39235-4 0  9999
2 43786  97.7457 262.9652 0013822 254.5711 105.3983 14.95142533 32643"
KNACKSAT	ACTIVE	tbd			435.635	1k2 FSK	HS0K	latest report	details	YES			
IRVINE01	ACTIVE	43693			437.800	CW	KK6CVB-1	latest report	details	YES		IRVINE01	"1 43693U 18088D   19190.79399498  .00001834  00000-0  79469-4 0  9993
2 43693  85.0364 304.1784 0020672 113.2846 247.0575 15.21436928 36574"
TEN-KOH	ACTIVE	43677			437.390	"CW,9k6 GMSK AX.25"	JG6YKY	latest report	details	YES		TEN-KOH	"1 43677U 18084G   19191.84835116  .00000112  00000-0  17377-4 0  9998
2 43677  97.8540 305.4367 0015454 204.1602 155.8892 14.90174340 37915"
CubeBel-1	ACTIVE	43666	436.200	436.200	436.990	9k6 FSK  4k8 GMSK (Mobitex)	EU10S	latest report	details	YES		CUBEBEL-1(BSUSAT-1)	"1 43666U 18083E   19191.84720286  .00000670  00000-0  36627-4 0  9994
2 43666  97.5182 216.1741 0016720 109.8378  15.2354 15.17606763 38646"
ELFIN-A	ACTIVE	43617			437.450	9k6 FSK AX.25	WJ2XNX	latest report	details	YES		ELFIN A	"1 43617U 18070E   19191.46480077  .00003498  00000-0  93042-4 0  9990
2 43617  93.0251  12.7941 0014295 213.7888 146.2456 15.38190093 45764"
ELFIN-B	ACTIVE	43616			437.475	9k6 FSK AX.25	WJ2XOX	latest report	details	YES		ELFIN B	"1 43616U 18070D   19191.73177949  .00003338  00000-0  88874-4 0  9990
2 43616  93.0195  12.6721 0015100 216.3693 143.6536 15.38143097 45801"
CP-7 (DAVE)	ACTIVE	43615			437.150	9k6 FSK AX.25	WI2XNR	latest report	details	YES		CP-7 DAVE	"1 43615U 18070C   19191.73288713  .00001898  00000-0  51699-4 0  9995
2 43615  93.0225  12.7603 0014405 212.1373 147.9004 15.37504845 45796"
SiriusSat-1	ACTIVE	43595			435.570	4k8 FSK AX.25	RS13S	latest report	details	NO		SIRIUSSAT-1 (SXC1-181)	"1 43595U 98067PG  19191.15076593  .00009620  00000-0  11645-3 0  9990
2 43595  51.6356 235.8472 0002747 187.4402 172.6552 15.61411755 51191"
SiriusSat-2	ACTIVE	43596			435.670	4k8 FSK AX.25	RS14S	latest report	details	NO		SIRIUSSAT-2 (SXC1-182)	"1 43596U 98067PH  19191.50336648  .00012463  00000-0  14985-3 0  9999
2 43596  51.6365 234.4883 0003247 190.1770 169.9159 15.61266548 51244"
Tanusha-3	ACTIVE	43597			437.050	voice  1k2 AFSK AX.25	RS8S	latest report	details	NO	.	OBJECT PJ	"1 43597U 98067PJ  19191.15950819  .00012663  00000-0  14310-3 0  9997
2 43597  51.6348 234.3792 0002537 210.6547 149.4299 15.62867273 51213"
BIRD-BT (BHUTAN-1)	ACTIVE	43591			437.375	CW	JG6YKL	latest report	details	YES		BIRD-BT (BHUTAN-1)	"1 43591U 98067PF  19191.15345916  .00010380  00000-0  12126-3 0  9994
2 43591  51.6366 234.3878 0004878 239.3022 120.7491 15.62237842 52038"
BIRD-PH (MAYA-1)	ACTIVE	43590			437.375	CW	JG6YKM	latest report	details	YES		BIRD-PH (MAYA-1)	"1 43590U 98067PE  19190.39592485  .00010888  00000-0  12725-3 0  9991
2 43590  51.6354 238.3069 0004777 235.2192 124.8353 15.62165117 51914"
